artist,song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
Led Zeppelin,Whole Lotta Love,0.0627,0.444,329760,0.892,0.0354,9,0.417,-11.367,1,0.424,88.063,4,0.394,0
Led Zeppelin,Ramble On,0.179,0.451,268880,0.555,0.00327,2,0.077,-13.15,1,0.0344,98.683,4,0.834,0
Led Zeppelin,Heartbreaker,0.0701,0.397,255507,0.723,0.0703,2,0.142,-9.197,1,0.0884,96.894,4,0.543,0
Led Zeppelin,Immigrant Song,0.0119,0.567,146747,0.931,0.159,11,0.342,-10.361,1,0.0544,112.948,4,0.623,0
Led Zeppelin,Since I've Been Loving You,0.00216,0.388,444800,0.356,0.0762,5,0.139,-11.187,0,0.0348,118.199,3,0.338,0
Led Zeppelin,Rock And Roll,0.00091,0.317,220880,0.879,0.00142,9,0.0972,-7.533,1,0.0406,169.534,4,0.849,0
Led Zeppelin,Black Dog,0.4,0.407,295507,0.866,0.0409,4,0.27,-8.048,0,0.0996,80.813,4,0.723,0
Led Zeppelin,When The Levee Breaks,0.0021,0.266,430320,0.759,0.579,5,0.0561,-8.224,1,0.0328,143.929,4,0.813,0
Led Zeppelin,Stairway To Heaven,0.609,0.338,485013,0.332,0.00432,9,0.142,-12.254,0,0.0352,81.957,4,0.204,0
Led Zeppelin,The Song Remains The Same,0.0657,0.256,331360,0.8,0.657,7,0.244,-8.394,1,0.0539,143.638,4,0.684,0
Led Zeppelin,Over The Hills And Far Away,0.0729,0.415,290933,0.688,0.0495,7,0.0832,-10.504,1,0.0636,96.968,4,0.23,0
Led Zeppelin,D'yer Mak'er,0.25,0.526,262760,0.918,4.54e-05,9,0.0778,-8.789,0,0.0771,164.453,4,0.578,0
Led Zeppelin,No Quarter,0.724,0.336,422680,0.339,0.608,11,0.126,-14.237,1,0.0397,139.869,4,0.0768,0
Led Zeppelin,Trampled Under Foot,0.238,0.568,336667,0.837,0.328,2,0.0754,-7.744,0,0.059,111.186,4,0.833,0
Led Zeppelin,Houses Of The Holy,0.15,0.631,244680,0.85,0.0627,9,0.562,-8.52,1,0.0347,123.086,4,0.944,0
Led Zeppelin,Kashmir,0.448,0.484,517120,0.609,0.0007,2,0.0415,-8.81,1,0.0483,80.483,3,0.61,0
Led Zeppelin,Nobody's Fault But Mine,0.0571,0.278,388787,0.767,0.167,9,0.221,-9.454,1,0.0736,93.236,4,0.439,0
Led Zeppelin,Achilles Last Stand,0.0211,0.329,630880,0.867,0.00856,2,0.134,-8.789,1,0.0506,145.81,4,0.315,0
Led Zeppelin,In The Evening,0.0138,0.432,413920,0.786,0.102,2,0.144,-8.23,1,0.0451,104.062,4,0.437,0
Led Zeppelin,All My Love,0.123,0.552,355893,0.791,1.42e-05,7,0.162,-8.356,1,0.0303,91.2,4,0.698,0
Led Zeppelin,LA Drone - Live [Remastered],0.0208,0,14707,0.304,0.689,1,0.254,-14.74,1,0,0,0,0,0
Led Zeppelin,Immigrant Song (Live) - Remastered,0.000486,0.287,221733,0.94,0.482,8,0.796,-7.185,0,0.0828,115.088,4,0.197,0
Led Zeppelin,Heartbreaker - Live [Remastered],0.0116,0.35,443987,0.817,0.0918,4,0.347,-9.686,0,0.0816,105.593,4,0.406,0
Led Zeppelin,Black Dog - Live [Remastered],0.00734,0.244,340627,0.846,0.0567,2,0.935,-9.526,0,0.103,84.426,4,0.581,0
Led Zeppelin,Over The Hills And Far Away - Live [Remastered],0.0908,0.293,307560,0.862,0.0481,7,0.924,-9.278,1,0.0802,99.66,4,0.192,0
Led Zeppelin,Since I've Been Loving You - Live [Remastered],0.00639,0.37,481600,0.677,0.00346,5,0.888,-8.552,0,0.0525,115.215,3,0.314,0
Led Zeppelin,Stairway To Heaven - Live [Remastered],0.0616,0.308,577013,0.583,0.00123,9,0.976,-10.307,0,0.043,106.661,4,0.229,0
Led Zeppelin,Going to California - Live [Remastered],0.663,0.483,337000,0.442,0.000476,7,0.953,-10.928,1,0.0307,80.656,4,0.172,0
Led Zeppelin,That's The Way - Live [Remastered],0.312,0.414,353827,0.449,0.00205,7,0.715,-11.512,1,0.0392,81.053,4,0.283,0
Led Zeppelin,Bron-Yr-Aur Stomp - Live [Remastered],0.0237,0.445,293760,0.847,0.0413,5,0.727,-10.536,1,0.0444,111.55,4,0.27,0
Led Zeppelin,Dazed And Confused - Live [Remastered],0.00569,0.336,1525320,0.849,0.37,2,0.717,-9.195,1,0.188,130.658,4,0.184,0
Led Zeppelin,What Is And What Should Never Be - Live [Remastered],0.0667,0.302,280200,0.879,0.000134,4,0.889,-8.722,1,0.135,90.755,4,0.282,0
Led Zeppelin,Dancing Days - Live [Remastered],0.000957,0.515,221427,0.926,1.53e-05,5,0.971,-8.738,1,0.0614,121.411,4,0.493,0
Led Zeppelin,Moby Dick - Live [Remastered],0.249,0.358,1164667,0.868,0.882,1,0.684,-11.884,1,0.0495,140.36,4,0.356,0
Led Zeppelin,Whole Lotta Love - Live [Remastered],0.0329,0.377,1261320,0.719,0.0228,2,0.989,-9.854,1,0.086,119.513,3,0.443,0
Led Zeppelin,Rock And Roll - Live [Remastered],0.00522,0.214,235613,0.974,0.000844,9,0.977,-8.18,1,0.0706,176.451,4,0.553,0
Led Zeppelin,The Ocean - Live [Remastered],0.0978,0.279,260027,0.885,0.00673,2,0.883,-9.511,1,0.141,186.023,4,0.52,0
Led Zeppelin,Bring It On Home - Live [Remastered],0.02,0.382,571787,0.778,0.0272,2,0.989,-9.836,1,0.109,106.014,4,0.421,0
Led Zeppelin,We're Gonna Groove,0.0212,0.285,158413,0.878,0.0409,2,0.145,-8.26,1,0.13,81.594,3,0.484,0
Led Zeppelin,Poor Tom,0.022,0.58,182413,0.753,0.00153,1,0.0934,-11.223,1,0.0479,105.22,4,0.573,0
Led Zeppelin,I Can't Quit You Baby,0.0194,0.321,258173,0.697,0.00791,2,0.168,-10.987,1,0.0835,143.611,3,0.377,0
Led Zeppelin,Walter's Walk,0.00125,0.311,271800,0.96,0.00114,2,0.103,-7.255,1,0.124,175.183,4,0.421,0
Led Zeppelin,Ozone Baby,0.033,0.556,216360,0.878,0.000449,2,0.24,-7.561,1,0.0351,141.758,4,0.961,0
Led Zeppelin,Darlene,0.324,0.39,306680,0.908,0.000806,0,0.31,-7.782,1,0.0894,169.172,4,0.64,0
Led Zeppelin,Bonzo's Montreux,0.213,0.291,262147,0.975,0.908,6,0.332,-10.754,0,0.0557,180.289,4,0.127,0
Led Zeppelin,Wearing And Tearing,0.000197,0.296,329747,0.916,0.0157,9,0.0628,-8.435,1,0.0554,111.98,4,0.143,0
Led Zeppelin,We're Gonna Groove (Alternate Mix),0.00672,0.314,160280,0.928,0.224,9,0.0891,-7.78,1,0.143,120.784,4,0.497,0
Led Zeppelin,If It Keeps On Raining (Rough Mix),0.0926,0.357,254342,0.612,0.696,1,0.165,-12.281,1,0.0301,153.252,4,0.665,0
Led Zeppelin,Bonzo's Montreux (Mix Construction In Progress),0.379,0.327,299600,0.994,0.86,6,0.104,-9.371,0,0.0473,182.655,4,0.215,0
Led Zeppelin,Baby Come On Home,0.445,0.421,269960,0.535,0.000115,0,0.132,-10.793,1,0.0565,131.7,3,0.422,0
Led Zeppelin,Sugar Mama (Mix),0.00605,0.639,170516,0.674,0.0727,9,0.0741,-9.095,1,0.0702,127.218,4,0.734,0
Led Zeppelin,Poor Tom (Instrumental Mix),0.017,0.598,137067,0.782,0.0713,7,0.0737,-9.355,1,0.0305,103.892,4,0.865,0
Led Zeppelin,Travelling Riverside Blues (BBC Session),0.0745,0.467,311640,0.835,0.000184,7,0.26,-7.084,1,0.0642,91.603,4,0.639,0
Led Zeppelin,Hey Hey What Can I Do,0.166,0.468,236760,0.858,0.000304,1,0.0807,-9.639,1,0.0543,77.987,4,0.526,0
Led Zeppelin,Four Hands (Four Sticks) (Bombay Orchestra),0.811,0.546,285920,0.323,0.0709,2,0.186,-11.521,1,0.0527,144.415,3,0.888,0
Led Zeppelin,Friends (Bombay Orchestra),0.706,0.503,267240,0.391,0.0312,7,0.167,-11.528,1,0.0306,79.215,4,0.37,0
Led Zeppelin,St. Tristan's Sword (Rough Mix),0.0275,0.438,341520,0.932,0.874,9,0.0809,-6.947,1,0.0283,105.256,4,0.962,0
Led Zeppelin,Desire (The Wanton Song) (Rough Mix),0.112,0.512,249880,0.873,0.0778,2,0.259,-9.787,0,0.0475,111.189,4,0.378,0
Led Zeppelin,Bring It On Home (Rough Mix),0.0257,0.402,152000,0.964,0.0358,11,0.399,-6.983,0,0.0919,98.074,4,0.561,0
Led Zeppelin,Walter's Walk (Rough Mix),0.000336,0.297,199640,0.968,0.878,9,0.096,-8.765,1,0.0486,175.954,4,0.801,0
Led Zeppelin,Everybody Makes It Through (In The Light) (Rough Mix),0.0638,0.398,513613,0.346,0.0493,9,0.0538,-11.564,1,0.0368,126.862,4,0.0626,0
Led Zeppelin,Dancing Days,0.0367,0.512,303020,0.709,0.00793,0,0.344,-10.875,1,0.0504,112.689,4,0.492,0
Led Zeppelin,Ramble On,0.352,0.481,305203,0.654,0.151,9,0.112,-11.393,1,0.052,102.826,4,0.774,0
Led Zeppelin,Battle of Evermore,0.683,0.478,402077,0.537,0.318,9,0.0906,-14.478,0,0.0343,148.492,4,0.356,0
Led Zeppelin,The Rain Song,0.634,0.345,472528,0.187,0.0143,0,0.119,-16.187,1,0.031,75.07,4,0.0969,0
Led Zeppelin,Friends,0.191,0.343,344027,0.342,0.153,6,0.261,-15.459,1,0.0491,176.689,3,0.17,0
Led Zeppelin,Four Sticks,0.0203,0.597,277896,0.632,0.136,11,0.179,-14.584,0,0.0414,112.565,3,0.524,0
Led Zeppelin,Kashmir,0.0602,0.445,850884,0.463,0.0512,2,0.102,-12.976,1,0.045,83.634,4,0.102,0
Kings of Leon,Waste A Moment,0.000861,0.436,183093,0.85,0.74,2,0.128,-4.86,1,0.0617,152.644,4,0.537,0
Kings of Leon,Reverend,0.0867,0.448,234080,0.815,0.686,0,0.316,-5.951,0,0.0361,124.808,4,0.217,0
Kings of Leon,Around The World,0.000252,0.575,214040,0.854,0.676,1,0.351,-5.847,0,0.0362,113.075,4,0.587,0
Kings of Leon,Find Me,0.000136,0.4,245573,0.946,0.853,1,0.155,-3.966,0,0.0634,161.591,4,0.611,0
Kings of Leon,Over,0.00199,0.414,370587,0.799,0.507,2,0.114,-8.253,1,0.0335,126.852,4,0.283,0
Kings of Leon,Muchacho,0.797,0.773,189960,0.602,0.266,10,0.119,-8.3,0,0.0287,118.366,4,0.507,0
Kings of Leon,Conversation Piece,0.35,0.425,299253,0.593,0.488,4,0.216,-7.419,1,0.0241,170.506,4,0.653,0
